epoch,Train_loss,Valid_loss,Train_f1_score,Train_pix_acc,Train_IoU,Valid_f1_score,Valid_pix_acc,Valid_IoU
1,0.03599243238568306,0.04586871826097745,0.8120554485970043,0.9801725581507013,0.8077517361509988,0.7831574762723487,0.9730159680048625,0.859098397471353
2,0.02486271597445011,0.03864078402143566,0.888203387516003,0.9847993170940151,0.867520997017012,0.8041185545551929,0.9737749099731445,0.866951539586928
3,0.023319270461797714,0.03430422866607413,0.8949143065362682,0.9850464127098739,0.871310500934036,0.8210006686425297,0.9746932109196981,0.874246252597156
4,0.021414292976260185,0.033504011187733725,0.89787280286102,0.9851747018986028,0.8733782620176951,0.8218571023907375,0.9745070377985636,0.8730809872611103
5,0.020894303917884827,0.030314975410324185,0.9000976520445125,0.9852551294322783,0.8746144000983916,0.8344372152995947,0.9754269440968831,0.8803077016005206
6,0.02231791242957115,0.03021780781823547,0.9014000072218028,0.985319295519303,0.8756508286820485,0.8341285878077175,0.975317899386088,0.8798541384829763
7,0.019652457907795906,0.02943807906087707,0.9024303591952941,0.9853886668287233,0.8766446320295478,0.8366805207777911,0.9754612445831299,0.8812769803035001
8,0.02243521437048912,0.028957098644195486,0.9031552124446309,0.9854210937547984,0.8770977632284134,0.8371504596037628,0.9755587498346965,0.8819696618111309
9,0.022643232718110085,0.027519479722661132,0.9038483241195302,0.9854666242059672,0.8778811272029553,0.8440192598714961,0.9760361433029174,0.8863710940191176
10,0.02212725393474102,0.02671955754401303,0.904365231213131,0.9855246873771619,0.8786851735574749,0.8472133762206845,0.9761808395385743,0.8871726808010699
