base_name,frontal_image,lateral_image,frontal_mask,lateral_mask,folder
csr0001a,csr0001a_frontal.png,csr0001a_lateral.png,csr0001a_frontal_mask.png,csr0001a_lateral_mask.png,train
csr0002a,csr0002a_frontal.png,csr0002a_lateral.png,csr0002a_frontal_mask.png,csr0002a_lateral_mask.png,val
csr0007a,csr0007a_frontal.png,csr0007a_lateral.png,csr0007a_frontal_mask.png,csr0007a_lateral_mask.png,train
csr0008a,csr0008a_frontal.png,csr0008a_lateral.png,csr0008a_frontal_mask.png,csr0008a_lateral_mask.png,train
csr0009a,csr0009a_frontal.png,csr0009a_lateral.png,csr0009a_frontal_mask.png,csr0009a_lateral_mask.png,train
csr0010a,csr0010a_frontal.png,csr0010a_lateral.png,csr0010a_frontal_mask.png,csr0010a_lateral_mask.png,train
csr0012a,csr0012a_frontal.png,csr0012a_lateral.png,csr0012a_frontal_mask.png,csr0012a_lateral_mask.png,test
csr0013a,csr0013a_frontal.png,csr0013a_lateral.png,csr0013a_frontal_mask.png,csr0013a_lateral_mask.png,train
csr0014a,csr0014a_frontal.png,csr0014a_lateral.png,csr0014a_frontal_mask.png,csr0014a_lateral_mask.png,train
csr0015a,csr0015a_frontal.png,csr0015a_lateral.png,csr0015a_frontal_mask.png,csr0015a_lateral_mask.png,train
csr0016a,csr0016a_frontal.png,csr0016a_lateral.png,csr0016a_frontal_mask.png,csr0016a_lateral_mask.png,train
csr0017a,csr0017a_frontal.png,csr0017a_lateral.png,csr0017a_frontal_mask.png,csr0017a_lateral_mask.png,train
csr0024a,csr0024a_frontal.png,csr0024a_lateral.png,csr0024a_frontal_mask.png,csr0024a_lateral_mask.png,val
csr0025a,csr0025a_frontal.png,csr0025a_lateral.png,csr0025a_frontal_mask.png,csr0025a_lateral_mask.png,train
csr0026a,csr0026a_frontal.png,csr0026a_lateral.png,csr0026a_frontal_mask.png,csr0026a_lateral_mask.png,val
csr0027a,csr0027a_frontal.png,csr0027a_lateral.png,csr0027a_frontal_mask.png,csr0027a_lateral_mask.png,train
csr0028a,csr0028a_frontal.png,csr0028a_lateral.png,csr0028a_frontal_mask.png,csr0028a_lateral_mask.png,train
csr0029a,csr0029a_frontal.png,csr0029a_lateral.png,csr0029a_frontal_mask.png,csr0029a_lateral_mask.png,train
csr0030a,csr0030a_frontal.png,csr0030a_lateral.png,csr0030a_frontal_mask.png,csr0030a_lateral_mask.png,train
csr0047a,csr0047a_frontal.png,csr0047a_lateral.png,csr0047a_frontal_mask.png,csr0047a_lateral_mask.png,train
csr0048a,csr0048a_frontal.png,csr0048a_lateral.png,csr0048a_frontal_mask.png,csr0048a_lateral_mask.png,test
csr0049a,csr0049a_frontal.png,csr0049a_lateral.png,csr0049a_frontal_mask.png,csr0049a_lateral_mask.png,train
