Subject Number,Gender,"Acromial Height, Sitting (mm)",Ankle Circumference (mm),Spine-to-Shoulder (mm),Spine-to-Elbow (mm),Arm Length (Spine to Wrist) (mm),Arm Length (Shoulder to Wrist) (mm),Arm Length (Shoulder to Elbow) (mm),Armscye Circumference (Scye Circ Over Acromion) (mm),Bizygomatic Breadth (mm),Chest Circumference (mm),Bust/Chest Circumference Under Bust (mm),Buttock-Knee Length (mm),Chest Girth at Scye (Chest Circumference at Scye)(mm),Crotch Height (mm),"Elbow Height, Sitting (mm)","Eye Height, Sitting (mm)",Face Length (mm),Foot Length (mm),Hand Circumference (mm),Hand Length (mm),Head Breadth (mm),Head Circumference (mm),Head Length (mm),"Hip Breadth, Sitting (mm)","Hip Circumference, Maximum (mm)",Hip Circ Max Height (mm),Knee Height (mm),Neck Base Circumference (mm),Shoulder Breadth (mm),Sitting Height (mm),Stature (mm),Subscapular Skinfold (mm),Thigh Circumference (mm),Thigh Circumference Max Sitting (mm),Thumb Tip Reach (mm),TTR 1 (mm),TTR 2 (mm),TTR 3 (mm),Triceps Skinfold (mm),Total Crotch Length (Crotch Length) (mm),Vertical Trunk Circumference (mm),"Waist Circumference, Pref (mm)",Waist Front Length (mm),"Waist Height, Preferred (mm)",Weight (kg),frontal_image,lateral_image,frontal_mask,lateral_mask
1,Male,676.0,317.0,210.0,587.0,907.0,697.0,377.0,564.0,165.0,1393.0,,694.0,1382.0,815.0,298.0,841.0,132.0,281.0,234.0,219.0,184.0,638.0,212.0,540.0,1422.0,972.0,622.0,537.0,647.0,971.0,1872.0,20.0,790.0,758.0,875.3,880.0,874.0,872.0,15.0,943.0,2040.0,1385.0,533.0,1130.0,156.46,csr0001a_frontal.png,csr0001a_lateral.png,csr0001a_frontal_mask.png,csr0001a_lateral_mask.png
7,Male,623.0,277.0,237.0,566.0,842.0,605.0,329.0,479.0,141.0,1160.0,,597.0,1185.0,744.0,278.0,821.0,119.0,265.0,219.0,189.0,152.0,560.0,191.0,387.0,1052.0,856.0,537.0,475.0,547.0,936.0,1731.0,35.0,654.0,658.0,813.0,811.0,815.0,813.0,13.0,646.0,1758.0,929.0,500.0,994.0,91.16,csr0007a_frontal.png,csr0007a_lateral.png,csr0007a_frontal_mask.png,csr0007a_lateral_mask.png
8,Male,588.0,263.0,212.0,551.0,856.0,644.0,339.0,445.0,142.0,988.0,,641.0,1047.0,838.0,221.0,820.0,132.0,262.0,222.0,198.0,154.0,559.0,190.0,361.0,1019.0,916.0,589.0,456.0,477.0,935.0,1828.0,20.0,593.0,598.0,834.3,839.0,831.0,833.0,19.0,640.0,1704.0,895.0,513.0,1055.0,79.37,csr0008a_frontal.png,csr0008a_lateral.png,csr0008a_frontal_mask.png,csr0008a_lateral_mask.png
9,Male,610.0,273.0,208.0,560.0,859.0,651.0,352.0,499.0,138.0,1052.0,,600.0,1113.0,794.0,240.0,813.0,123.0,261.0,231.0,197.0,152.0,575.0,204.0,387.0,1046.0,871.0,550.0,481.0,512.0,926.0,1762.0,24.0,587.0,610.0,836.3,838.0,832.0,839.0,8.0,649.0,1722.0,934.0,454.0,1020.0,88.89,csr0009a_frontal.png,csr0009a_lateral.png,csr0009a_frontal_mask.png,csr0009a_lateral_mask.png
10,Male,625.0,279.0,230.0,573.0,879.0,649.0,343.0,495.0,157.0,1092.0,,651.0,1100.0,807.0,265.0,834.0,135.0,300.0,230.0,224.0,159.0,580.0,191.0,409.0,1099.0,925.0,555.0,486.0,519.0,950.0,1806.0,26.0,636.0,656.0,836.0,836.0,835.0,837.0,20.0,713.0,1821.0,984.0,499.0,1068.0,97.96,csr0010a_frontal.png,csr0010a_lateral.png,csr0010a_frontal_mask.png,csr0010a_lateral_mask.png
13,Male,536.0,262.0,215.0,538.0,831.0,616.0,323.0,396.0,136.0,900.0,,611.0,938.0,790.0,187.0,755.0,116.0,272.0,205.0,203.0,148.0,531.0,184.0,338.0,932.0,836.0,539.0,443.0,452.0,866.0,1705.0,14.0,548.0,544.0,751.0,758.0,749.0,746.0,11.0,637.0,1521.0,771.0,380.0,1044.0,63.49,csr0013a_frontal.png,csr0013a_lateral.png,csr0013a_frontal_mask.png,csr0013a_lateral_mask.png
14,Female,561.0,224.0,162.0,451.0,696.0,534.0,289.0,388.0,126.0,908.0,799.0,586.0,875.0,720.0,243.0,727.0,112.0,233.0,187.0,171.0,142.0,537.0,182.0,424.0,1067.0,778.0,489.0,405.0,420.0,838.0,1578.0,20.0,620.0,636.0,673.0,674.0,668.0,677.0,20.0,725.0,1525.0,735.0,321.0,980.0,63.49,csr0014a_frontal.png,csr0014a_lateral.png,csr0014a_frontal_mask.png,csr0014a_lateral_mask.png
15,Female,540.0,205.0,192.0,479.0,731.0,539.0,287.0,365.0,133.0,872.0,739.0,549.0,888.0,713.0,222.0,727.0,114.0,226.0,187.0,187.0,145.0,557.0,192.0,389.0,960.0,763.0,490.0,390.0,424.0,836.0,1582.0,17.0,570.0,571.0,721.3,709.0,726.0,729.0,20.3,675.0,1457.0,686.0,343.0,972.0,53.51,csr0015a_frontal.png,csr0015a_lateral.png,csr0015a_frontal_mask.png,csr0015a_lateral_mask.png
16,Male,598.0,240.0,224.0,572.0,881.0,657.0,348.0,452.0,142.0,953.0,,631.0,1009.0,870.0,217.0,817.0,137.0,252.0,209.0,199.0,160.0,582.0,198.0,334.0,916.0,944.0,594.0,459.0,493.0,936.0,1836.0,11.0,550.0,543.0,844.6,835.0,847.0,852.0,10.0,614.0,1619.0,769.0,432.0,1099.0,74.83,csr0016a_frontal.png,csr0016a_lateral.png,csr0016a_frontal_mask.png,csr0016a_lateral_mask.png
17,Female,572.0,240.0,201.0,495.0,765.0,564.0,294.0,455.0,144.0,1212.0,935.0,621.0,1102.0,686.0,263.0,739.0,125.0,236.0,189.0,180.0,157.0,574.0,197.0,530.0,1308.0,741.0,496.0,447.0,520.0,856.0,1590.0,47.0,749.0,774.0,757.0,756.0,746.0,769.0,31.0,785.0,1730.0,980.0,435.0,959.0,100.68,csr0017a_frontal.png,csr0017a_lateral.png,csr0017a_frontal_mask.png,csr0017a_lateral_mask.png
