epoch,train_loss,val_loss,train_rmse,train_mae,train_explained_variance,train_r2,val_rmse,val_mae,val_explained_variance,val_r2,train_TP50,train_TP75,train_TP90,val_TP50,val_TP75,val_TP90
1,253409.63439379577,88289073.6,462.0387275727723,403.95520951658114,-0.8887094946419678,-2.7799904508570745,9387.675846354166,8993.810026041667,-363.063003347185,-1350.6934326171875,399.7843981627141,439.75683494791326,474.3959617774357,8971.393180338542,9424.614225260417,9777.312141927083
2,8146.729753693776,28876071.066666666,86.08767780000694,62.72080273807797,-1.5312676494590407,0.8477507009167052,5367.027571614583,4994.698274739583,-141.050757077535,-440.9354777018229,55.128316256790484,84.96524271306633,113.4796407212772,4967.720458984375,5262.226513671875,5507.009163411459
3,5911.448957754478,13437370.2,73.505516658767,51.783184306890895,-0.7363346734306304,0.8808010432510696,3660.507763671875,3405.7874267578127,-75.14180384106108,-204.62215728759764,44.94670791306755,70.12423133052044,94.74363871299073,3389.733740234375,3602.190047200521,3780.9713460286457
4,5526.251457693188,8119085.566666666,71.26903438169089,49.42862019878052,-0.6032708725337371,0.8864555837719011,2845.223006184896,2633.274365234375,-46.494098939895636,-123.24942143758138,42.321115182533426,66.65544738131088,91.39264265563199,2614.174772135417,2782.830525716146,2932.363631184896
5,5328.121768967377,6662476.333333333,69.96889668229235,48.32272284599528,-0.39659890644719914,0.8892436810617168,2578.679833984375,2396.104915364583,-25.594770860672,-101.0393295288086,41.23836610706282,65.0578406106478,89.28524536068969,2384.476521809896,2506.356795247396,2616.9459716796873
6,5219.453160242057,6445555.116666666,69.34559693595854,47.921169807721384,-0.43942340093676535,0.8908114049225173,2537.5844156901044,2359.592521158854,-14.3320960050159,-97.81317443847657,41.067431421958254,64.67169053783975,88.6980597204743,2331.0772298177085,2429.56162109375,2524.171492513021
7,5222.639529431714,7672741.4,68.98415670035773,47.32468190851571,-0.35685184233025674,0.8912545280476495,2769.151953125,2580.121240234375,-11.0230133442084,-116.65527064005533,40.55823700398082,63.836870776060735,87.34385111341915,2564.5157796223957,2651.6842041015625,2729.8554524739584
8,4915.628242269221,9382334.4,66.7569454145232,45.87997043082903,-0.23151452557977456,0.8958183773890699,3062.055940755208,2852.602115885417,-12.72408758746253,-142.86498616536457,39.57738423048203,61.63131804845323,84.02116145050176,2842.0416015625,2933.0604248046875,3012.9124755859375
9,4900.6502746837405,9823880.216666667,67.17549059879829,45.92635834665977,-0.23547828180853134,0.8957876390991849,3131.308243815104,2909.504443359375,-40.76079632388221,-149.4210444132487,39.147846182021134,61.670955530270376,85.31235492977638,2915.905061848958,3063.3280029296875,3176.549267578125
10,4847.98786651739,9150389.866666667,66.56163463831946,45.56285062494637,-0.2548191961550479,0.8965766509706505,3020.021476236979,2790.7743001302083,-60.22040526707966,-138.97745463053386,38.657773883771696,61.40237168188374,84.66044064445974,2792.9930908203123,2972.533138020833,3117.7036702473956
